OID,Latitude (N),Longitude (E),Blended LRO/LOLA and SELENE/Kaguya DEM
443,25.995117187499996,116.8701171875,-113.5
444,25.995117187499996,116.87207031250003,-104.0
445,25.995117187499996,116.87402343750003,-101.0
446,25.995117187499996,116.8759765625,-91.5
447,25.995117187499996,116.87792968749997,-82.0
448,25.995117187499996,116.8798828125,-76.0
449,25.995117187499996,116.8818359375,-70.0
450,25.9951171875,116.8837890625,-64.5
451,25.995117187499996,116.88574218750003,-58.5
452,25.995117187499996,116.8876953125,-53.5
453,25.995117187499996,116.8896484375,-49.0
454,25.995117187499996,116.89160156250003,-56.0
455,25.995117187499996,116.89355468750003,-53.5
456,25.995117187499996,116.89550781249997,-55.0
457,25.9951171875,116.89746093749997,-63.0
458,25.995117187499996,116.8994140625,-72.0
459,25.995117187499996,116.9013671875,-82.0
460,25.9951171875,116.90332031249997,-96.0
461,25.995117187499996,116.90527343750003,-107.0
462,25.9951171875,116.9072265625,-112.0
463,25.995117187499996,116.9091796875,-113.0
464,25.9951171875,116.91113281249994,-114.0
465,25.995117187499996,116.91308593750003,-114.5
466,25.9951171875,116.9150390625,-116.5
467,25.995117187499996,116.91699218749997,-119.0
468,25.9951171875,116.91894531250003,-123.5
469,25.995117187499996,116.9208984375,-129.5
470,25.995117187499996,116.92285156249997,-133.5
471,25.995117187499996,116.9248046875,-136.0
472,25.995117187499996,116.9267578125,-139.0
473,25.9951171875,116.9287109375,-138.5
474,25.995117187499996,116.93066406249997,-139.5
475,25.995117187499996,116.9326171875,-138.0
476,25.995117187499996,116.93457031250003,-133.5
477,25.995117187499996,116.9365234375,-132.5
478,25.995117187499996,116.93847656250003,-126.0
479,25.995117187499996,116.94042968749997,-112.0
480,25.995117187499996,116.94238281249997,-101.5
481,25.9951171875,116.9443359375,-91.5
482,25.995117187499996,116.9462890625,-80.5
483,25.995117187499996,116.94824218750003,-69.0
484,25.995117187499996,116.95019531249997,-56.5
485,25.9951171875,116.9521484375,-42.5
486,25.995117187499996,116.95410156250003,-22.0
487,25.995117187499996,116.95605468749994,-8.0
488,25.995117187499996,116.9580078125,5.0
489,25.9951171875,116.95996093749997,21.5
490,25.9951171875,116.96191406250003,39.0
